"date and time (zulu, UTC)",device id,BME 280,,,DS18B20,TEROS 11/12,,TEROS 11/12,TEROS 12,Battery,raw data
,,humidity (%),air pressure (hPa),temp (°C),temp (°C),vwc (m^3/m^3),temp (°C),perm (raw),econ (µS/cm),U (V),
2026-04-22T19:44:46.786088351Z,igc-2025-06-14-otaa,23.7,"1,029",23.9,21.9,28.2%,21.2,,,,
2026-04-22T19:45:59.430013162Z,igc-2025-06-14-otaa,23.7,"1,029",23.9,21.9,28.2%,21.2,,,,
2026-04-22T19:47:12.136592851Z,igc-2025-06-14-otaa,24.0,"1,029",23.9,21.9,28.1%,21.2,,,,
2026-04-22T19:48:24.852394227Z,igc-2025-06-14-otaa,23.9,"1,029",23.9,21.9,28.1%,21.2,,,,
2026-04-22T19:49:37.673380659Z,igc-2025-06-14-otaa,23.7,"1,029",23.9,21.9,28.1%,21.1,,,,
2026-04-22T19:50:50.545143163Z,igc-2025-06-14-otaa,23.9,"1,029",23.9,21.9,28.1%,21.1,,,,
2026-04-22T19:52:03.385182012Z,igc-2025-06-14-otaa,24.2,"1,029",23.9,21.9,28.1%,21.1,,,,
2026-04-22T19:53:16.260786208Z,igc-2025-06-14-otaa,23.9,"1,029",23.9,21.9,28.0%,21.1,,,,
2026-04-22T19:54:29.206323930Z,igc-2025-06-14-otaa,24.1,"1,029",23.9,21.9,28.0%,21.1,,,,
2026-04-22T19:55:42.247003693Z,igc-2025-06-14-otaa,24.1,"1,029",23.9,21.9,28.0%,21.1,,,,
2026-04-22T19:56:55.252192784Z,igc-2025-06-14-otaa,24.1,"1,029",23.9,21.8,28.0%,21.1,,,,
2026-04-22T19:58:08.305046770Z,igc-2025-06-14-otaa,24.1,"1,029",23.9,21.8,28.0%,21.1,,,,
2026-04-22T19:59:21.452851491Z,igc-2025-06-14-otaa,24.0,"1,029",23.8,21.8,28.0%,21.1,,,,
2026-04-22T20:00:34.595993193Z,igc-2025-06-14-otaa,24.2,"1,029",23.8,21.8,27.9%,21.1,,,,
2026-04-22T20:01:47.817993265Z,igc-2025-06-14-otaa,25.6,"1,029",23.8,21.9,27.9%,21.1,,,,
2026-04-22T20:03:01.110508851Z,igc-2025-06-14-otaa,24.3,"1,029",23.8,21.8,27.9%,21.1,,,,
2026-04-22T20:04:14.403281363Z,igc-2025-06-14-otaa,24.2,"1,029",23.8,21.8,27.9%,21.1,,,,
2026-04-22T20:05:27.738900655Z,igc-2025-06-14-otaa,24.3,"1,029",23.8,21.8,27.9%,21.1,,,,
2026-04-22T20:06:41.077340629Z,igc-2025-06-14-otaa,24.2,"1,029",23.8,21.8,27.8%,21.1,,,,
2026-04-22T20:07:54.474927648Z,igc-2025-06-14-otaa,24.3,"1,029",23.8,21.8,27.8%,21.1,,,,
2026-04-22T20:09:08.009188046Z,igc-2025-06-14-otaa,24.3,"1,029",23.8,21.8,27.8%,21.1,,,,
2026-04-22T20:10:21.549702911Z,igc-2025-06-14-otaa,24.3,"1,029",23.8,21.8,27.8%,21.1,,,,
2026-04-22T20:11:34.383409602Z,igc-2025-06-14-otaa,24.3,"1,029",23.8,21.8,27.7%,21.1,,,,
2026-04-22T20:12:47.042963228Z,igc-2025-06-14-otaa,24.4,"1,029",23.8,21.8,27.8%,21.1,,,,
2026-04-22T20:13:59.768402744Z,igc-2025-06-14-otaa,24.5,"1,029",23.8,21.8,27.7%,21.1,,,,
2026-04-22T20:15:12.490614183Z,igc-2025-06-14-otaa,24.5,"1,029",23.8,21.8,27.7%,21.1,,,,
2026-04-22T20:16:25.309061695Z,igc-2025-06-14-otaa,24.6,"1,029",23.8,21.8,27.7%,21.1,,,,
2026-04-22T20:17:38.017894472Z,igc-2025-06-14-otaa,24.4,"1,029",23.7,21.8,27.7%,21.1,,,,
2026-04-22T20:18:50.887259972Z,igc-2025-06-14-otaa,24.4,"1,029",23.7,21.8,27.7%,21.1,,,,
2026-04-22T20:20:03.752545233Z,igc-2025-06-14-otaa,24.7,"1,029",23.7,21.8,27.6%,21.1,,,,
2026-04-22T20:21:16.651254455Z,igc-2025-06-14-otaa,24.6,"1,029",23.7,21.8,27.6%,21.1,,,,
2026-04-22T20:22:29.680241085Z,igc-2025-06-14-otaa,24.7,"1,029",23.7,21.8,27.6%,21.1,,,,
2026-04-22T20:23:42.631427487Z,igc-2025-06-14-otaa,24.7,"1,029",23.7,21.8,27.6%,21.1,,,,
2026-04-22T20:24:55.698677538Z,igc-2025-06-14-otaa,24.7,"1,029",23.7,21.8,27.6%,21.1,,,,
2026-04-22T20:26:08.799160054Z,igc-2025-06-14-otaa,24.7,"1,029",23.7,21.8,27.5%,21.0,,,,
2026-04-22T20:27:21.960608181Z,igc-2025-06-14-otaa,25.0,"1,029",23.7,21.8,27.5%,21.0,,,,
2026-04-22T20:28:35.109244497Z,igc-2025-06-14-otaa,24.8,"1,029",23.7,21.8,27.5%,21.0,,,,
2026-04-22T20:29:48.308005327Z,igc-2025-06-14-otaa,25.0,"1,029",23.7,21.8,27.5%,21.0,,,,
2026-04-22T20:31:01.541932761Z,igc-2025-06-14-otaa,24.8,"1,029",23.7,21.8,27.5%,21.0,,,,
2026-04-22T20:32:14.874946115Z,igc-2025-06-14-otaa,24.6,"1,029",23.7,21.8,27.5%,21.0,,,,
2026-04-22T20:33:28.176284348Z,igc-2025-06-14-otaa,24.8,"1,029",23.7,21.8,27.5%,21.0,,,,
2026-04-22T20:34:41.499106007Z,igc-2025-06-14-otaa,24.8,"1,029",23.7,21.8,27.4%,21.0,,,,
2026-04-22T20:35:54.948825612Z,igc-2025-06-14-otaa,24.9,"1,029",23.7,21.8,27.4%,21.0,,,,
2026-04-22T20:37:08.427852670Z,igc-2025-06-14-otaa,24.9,"1,029",23.7,21.8,27.4%,21.0,,,,
2026-04-22T20:38:21.895632946Z,igc-2025-06-14-otaa,25.0,"1,029",23.7,21.8,27.4%,21.0,,,,
2026-04-22T20:39:34.816766006Z,igc-2025-06-14-otaa,25.0,"1,029",23.7,21.8,27.4%,21.0,,,,
2026-04-22T20:40:47.466398782Z,igc-2025-06-14-otaa,25.1,"1,029",23.6,21.8,27.4%,21.0,,,,
2026-04-22T20:42:00.123930840Z,igc-2025-06-14-otaa,25.3,"1,029",23.6,21.7,27.4%,21.0,,,,
2026-04-22T20:43:12.818825025Z,igc-2025-06-14-otaa,25.1,"1,029",23.6,21.8,27.3%,21.0,,,,
2026-04-22T20:44:25.552736365Z,igc-2025-06-14-otaa,25.2,"1,029",23.6,21.8,27.3%,21.0,,,,
2026-04-22T20:46:51.275829103Z,igc-2025-06-14-otaa,25.3,"1,029",23.6,21.8,27.3%,21.0,,,,
2026-04-22T20:48:04.104263771Z,igc-2025-06-14-otaa,25.2,"1,029",23.6,21.8,27.3%,21.0,,,,
2026-04-22T20:49:17.020686169Z,igc-2025-06-14-otaa,25.5,"1,029",23.6,21.7,27.3%,21.0,,,,
2026-04-22T20:50:29.998809113Z,igc-2025-06-14-otaa,25.2,"1,030",23.6,21.7,27.2%,21.0,,,,
2026-04-22T20:51:43.070167872Z,igc-2025-06-14-otaa,25.3,"1,030",23.6,21.8,27.2%,21.0,,,,
2026-04-22T20:52:56.007101472Z,igc-2025-06-14-otaa,25.4,"1,030",23.6,21.7,27.2%,21.0,,,,
2026-04-22T20:54:09.039685045Z,igc-2025-06-14-otaa,25.4,"1,030",23.6,21.7,27.2%,20.9,,,,
2026-04-22T20:55:22.124071148Z,igc-2025-06-14-otaa,25.4,"1,030",23.6,21.8,27.2%,20.9,,,,
2026-04-22T20:56:35.337027195Z,igc-2025-06-14-otaa,25.5,"1,030",23.6,21.7,27.2%,20.9,,,,
2026-04-22T20:57:48.551966381Z,igc-2025-06-14-otaa,25.5,"1,030",23.6,21.7,27.2%,20.9,,,,
2026-04-22T20:59:01.786800159Z,igc-2025-06-14-otaa,25.2,"1,030",23.6,21.7,27.1%,20.9,,,,
